"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,Follows,"Link clicks","Sticker taps"
18084836212792401,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/04/2025 13:33",https://www.instagram.com/stories/microsoftlearn/3758700261292493953,"IG story",,Lifetime,1676,1424,18,0,,0,1536,,,
18077567069565772,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/03/2026 13:27",https://www.instagram.com/stories/microsoftlearn/3867383496247815280,"IG story",,Lifetime,1494,1295,29,0,3,0,1117,,1,
18193156780359658,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/03/2026 13:26",https://www.instagram.com/stories/microsoftlearn/3867383102234899444,"IG story",,Lifetime,1587,1376,29,0,1,0,1187,,11,
17907879513204791,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/03/2026 13:26",https://www.instagram.com/stories/microsoftlearn/3867382867320370722,"IG story",,Lifetime,1751,1499,33,1,1,0,1245,,16,
18079276991120504,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/03/2026 13:25",https://www.instagram.com/stories/microsoftlearn/3867382586553621656,"IG story",,Lifetime,1868,1621,34,0,2,0,1329,,,
18053348249495452,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/03/2026 13:25",https://www.instagram.com/stories/microsoftlearn/3867382259649563373,"IG story",,Lifetime,2684,2234,44,4,20,1,1723,,25,
18175154569396437,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"04/01/2026 11:11",https://www.instagram.com/stories/microsoftlearn/3865865272972387697,"IG story",,Lifetime,1716,1426,24,1,4,1,1243,,,4
18117158374630574,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/31/2026 14:30",https://www.instagram.com/stories/microsoftlearn/3865240608206449539,"IG story",,Lifetime,1690,1330,15,4,8,2,1525,,41,
18102892640311591,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/31/2026 14:30",https://www.instagram.com/stories/microsoftlearn/3865240568066989077,"IG story",,Lifetime,2069,1704,23,0,7,0,1843,,,
18098687686976207,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/25/2026 08:15",https://www.instagram.com/stories/microsoftlearn/3860703363038427378,"IG story",,Lifetime,1924,1554,22,1,17,1,1721,,,43
18083293682342654,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/24/2026 13:32",https://www.instagram.com/stories/microsoftlearn/3860138013615917295,"IG story",,Lifetime,1604,1316,15,0,9,0,1420,1,,14
18131300398558542,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/24/2026 08:02",https://www.instagram.com/stories/microsoftlearn/3859971841691974496,"IG story",,Lifetime,1686,1413,7,0,9,0,1567,,,
18016489538829293,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/24/2026 08:00",https://www.instagram.com/stories/microsoftlearn/3859971126496007454,"IG story",,Lifetime,2162,1808,10,0,16,0,1864,,,
18081280577613342,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/20/2026 12:43",https://www.instagram.com/stories/microsoftlearn/3857214612811219617,"IG story",,Lifetime,2265,1902,21,6,9,1,1988,1,,
18176147671383042,17841400849550874,microsoftlearn,"Microsoft Learn",,5,"03/17/2026 06:45",https://www.instagram.com/stories/microsoftlearn/3854859998585645082,"IG story",,Lifetime,3316,2538,22,1,35,0,2594,,,91
17938365261017477,17841400849550874,microsoftlearn,"Microsoft Learn",,20,"03/16/2026 12:35",https://www.instagram.com/stories/microsoftlearn/3854311092772632842,"IG story",,Lifetime,1655,1345,19,5,10,0,1536,,,29
18388178830155804,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"03/16/2026 12:02",https://www.instagram.com/stories/microsoftlearn/3854294821909816300,"IG story",,Lifetime,1735,1446,10,0,3,0,1630,,,
